,y_test,y_pred
0,10979.378199999996,9724.53
1,9597.108000000004,8547.69
2,44438.16259999997,45702.02
3,13160.409000000003,12950.07
4,9176.02550000001,9644.25
5,12242.047699999985,4500.34
6,2181.2864000000004,2198.19
7,11865.118399999996,11436.74
8,7124.876699999997,7537.16
9,5380.7721000000065,5425.02
10,7880.248800000002,6753.04
11,17647.98659999999,10493.95
12,9679.689400000001,7337.75
13,6666.706600000001,4185.1
14,24438.734699999986,18310.74
15,14095.806199999992,10702.64
16,13148.366299999996,12523.6
17,7079.364000000006,3490.55
18,6842.005399999998,6457.84
19,34130.8785,33475.82
20,24127.5182,23967.38
21,12986.11770000001,12643.38
22,10350.58390000001,23045.57
23,27189.38110000002,23065.42
24,3936.919800000001,1674.63
25,4836.653299999997,4667.61
26,4437.761800000003,3732.63
27,7899.643800000004,7682.67
28,3874.1787000000045,3756.62
29,9578.562300000005,8413.46
30,7772.934700000003,8059.68
31,48458.101300000024,48970.25
32,14320.04850000001,12979.36
33,10754.708200000005,20630.28
34,16227.450799999997,14571.89
35,4164.590900000005,4137.52
36,8975.730999999992,8347.16
37,37763.50889999997,51194.56
38,39338.97720000003,40003.33
39,4704.559500000003,1880.49
40,10289.836999999996,5458.05
41,3529.8253000000027,2867.12
42,20558.83899999999,20149.32
43,47542.39200000003,47496.49
44,36611.14069999997,36149.48
45,4096.419,26018.95
46,14131.416099999991,19749.38
47,6702.980100000002,6940.91
48,5483.198800000005,4718.2
49,13454.883800000003,22192.44
50,3654.421099999998,2899.49
51,10454.921900000007,18838.7
52,25089.413500000013,23568.27
53,49854.42380000002,46255.11
54,11693.3604,24227.34
55,6997.652400000004,3268.85
56,2964.6018000000004,2322.62
57,10569.208999999992,8827.21
58,10200.197099999998,14478.33
59,17883.381200000007,13112.6
60,1587.2899000000014,1253.94
61,47354.92819999999,46718.16
62,16431.7894,13919.82
63,17070.74750000001,9630.4
64,12860.384399999997,10736.87
65,10699.099099999998,9880.07
66,33943.32519999997,32548.34
67,41443.393499999984,38746.36
68,7289.628700000001,3180.51
69,11435.0664,8162.72
70,16495.866000000016,13041.92
71,12887.829199999995,11554.22
72,18007.24250000001,16232.85
73,14066.673499999992,13887.97
74,13105.650100000004,13012.21
75,15339.928899999997,13217.09
76,7970.696899999999,7147.11
77,14956.571699999999,7731.43
78,20212.678599999985,20296.86
79,47948.03039999999,47403.88
80,11536.962300000008,11658.38
81,49269.63480000001,45863.21
82,2876.1315999999993,2055.32
83,10734.252799999998,7441.05
84,40972.26400000003,41034.22
85,19943.552499999994,18972.5
86,4332.496899999998,3410.32
87,3225.2776000000017,2699.57
88,15315.632899999991,12333.83
89,38367.09089999995,36837.47
90,5786.024900000001,6334.34
91,17147.066700000003,10214.64
92,3258.6889999999985,17878.9
93,9832.604999999996,8515.76
94,5956.975399999997,4518.83
95,4460.9454,5148.55
96,43140.53370000001,42303.69
97,50942.45870000004,38998.55
98,5683.915300000002,5327.4
99,10863.415599999998,10602.39
100,2818.2810999999997,1824.29
101,5992.298099999994,5377.46
102,8319.062399999997,4349.46
103,39497.673400000014,37742.58
104,27434.736199999992,32787.46
105,3965.2014999999997,3353.47
106,11301.433400000004,10577.09
107,4184.0412000000015,3556.92
108,11625.70300000001,11944.59
109,45523.135699999955,52590.83
110,12265.614199999987,12475.35
111,7418.368600000005,4266.17
112,11413.334800000002,9249.5
113,34362.287899999996,33732.69
114,47724.90390000004,48675.52
115,7295.1885,7729.65
116,2588.729899999998,1964.78
117,12498.402399999988,8444.47
118,22347.7679,12347.17
119,9408.749,9301.89
120,42215.89870000003,42124.52
121,11858.941100000007,9991.04
122,14612.715200000013,14319.03
123,8383.395300000006,5428.73
124,10055.575899999994,7626.99
125,5759.3917,4906.41
126,26274.897400000013,23401.31
127,26961.200400000027,21098.55
128,48501.19350000002,48173.36
129,1662.2469999999992,1917.32
130,16991.065199999997,8219.2
131,4581.354899999999,1725.55
132,6135.3405,5976.83
133,9031.986399999996,9361.33
134,41881.45320000001,22144.03
135,39193.48359999999,35491.64
136,24674.795499999986,19515.54
137,14916.400599999994,10107.22
138,24054.3779,23244.79
139,8754.032400000006,2789.06
140,2217.9841999999994,2261.57
141,11921.938699999999,10594.5
142,9857.2761,9304.7
143,10841.84780000001,10435.07
144,6368.665499999994,4894.75
145,14063.109600000007,14313.85
146,21589.104300000006,28287.9
147,11503.349199999991,14426.07
148,1563.2998000000007,1627.28
149,11738.122999999998,25517.11
150,6241.225999999999,6555.07
151,39532.1117,39611.76
152,10342.7393,9964.06
153,5272.011299999999,1720.35
154,6550.098599999995,2730.11
155,7567.1564999999955,6500.24
156,3371.8937000000005,2643.27
157,4600.881799999999,1719.44
158,13565.927399999997,11085.59
159,10867.727900000005,10115.01
160,9998.668899999997,4846.92
161,13388.277800000007,12982.87
162,13355.623699999991,28923.14
163,10448.376699999999,9391.35
164,4560.258700000004,4544.23
165,10069.1593,17128.43
166,15446.712699999998,13844.51
167,6896.444800000008,6113.23
168,4505.557400000005,4441.21
169,1948.1121000000026,1633.96
170,12148.421600000003,4058.71
171,8803.865800000007,4435.09
172,12684.483300000005,8310.84
173,2219.9765999999995,1986.93
174,12269.193099999999,4260.74
175,10368.703,4504.66
176,4915.9499,4428.89
177,7980.858299999998,6117.49
178,27657.7987,30184.94
179,1707.7781999999997,1708.93
180,15212.6474,11187.66
181,6653.021800000001,6796.86
182,11466.569900000002,11356.66
183,4987.555199999999,2498.41
184,9110.547699999996,27375.9
185,28353.42550000001,28101.33
186,2860.4157999999998,2254.8
187,3375.8764999999985,2597.78
188,14059.817500000003,14692.67
189,11247.172199999999,10370.91
190,41501.23910000003,41097.16
191,4807.611499999998,3981.98
192,5427.126699999999,5472.45
193,24554.93350000003,21223.68
194,3403.765000000001,2534.39
195,2939.237100000001,1972.95
196,10012.563699999997,6406.41
197,6550.7228000000005,6551.75
198,7380.986100000004,4058.12
199,4328.021300000002,4243.59
200,12721.000299999996,11512.41
201,47031.80689999994,46889.26
202,13564.133499999982,12268.63
203,19184.178499999984,19199.94
204,6162.575500000003,4433.39
205,43351.963100000045,42969.85
206,4336.4126,23241.47
207,12866.227900000005,9140.95
208,7164.2530000000015,5836.52
209,1429.0850000000014,1149.4
210,10627.820800000014,8765.25
211,13640.19790000001,14043.48
212,6928.450700000002,5312.17
213,4704.299899999999,10795.94
214,6616.213899999994,6282.24
215,7236.47169999999,1969.61
216,6606.946599999999,6746.74
217,7316.0329000000065,5354.07
218,14184.563899999976,14001.29
219,6741.014800000001,6877.98
220,11335.470900000006,6196.45
221,7976.464199999999,7986.48
222,13604.858300000004,8277.52
223,5474.6518000000015,3206.49
224,12583.751599999983,11848.14
225,14563.617400000014,14210.54
226,24253.4576,12265.51
227,12183.915599999997,11837.16
228,7314.6651,6652.53
229,4468.541700000001,2137.65
230,5824.6103799999955,1131.51
231,9185.002899999996,8342.91
232,13947.405600000006,12244.53
233,7439.837800000001,4561.19
234,6000.891800000003,17626.24
235,7183.589999999989,6875.96
236,14634.417000000001,9447.38
237,34391.17160000001,34254.05
238,5767.880999999997,6067.13
239,12950.7315,11729.68
240,6276.228899999995,5383.54
241,38151.3259,37465.34
242,8015.466700000003,7371.77
243,7015.316599999998,7325.05
244,13053.1941,8410.05
245,12214.414700000007,10461.98
246,6060.433299999995,3279.87
247,8503.520899999998,7727.25
248,2773.812300000001,2731.91
249,7019.277299999998,6858.48
250,19758.876599999996,19521.97
251,46748.29939999997,47305.31
252,5555.963199999998,3987.93
253,4660.696399999996,3238.44
254,4624.718139999997,7323.73
255,1876.0716000000018,1704.57
256,8894.606899999993,7445.92
257,2494.9311833333372,1629.83
258,9024.750799999998,4877.98
259,10156.820300000007,3561.89
260,8848.784799999996,8605.36
261,24679.328100000006,24520.26
262,46131.62979999995,45710.21
263,16606.066499999994,15019.76
264,6616.780699999995,6664.69
265,11306.645100000005,20709.02
266,42250.744399999996,40932.43
267,10564.411199999997,9500.57
