,Predicted,Real
0,16.402000427246094,15.913043478260871
1,18.593360900878906,18.5
2,17.38706398010254,17.11111111111111
3,18.77251434326172,18.7
4,18.494407653808594,18.38888888888889
5,19.334487915039062,19.318181818181817
6,15.46504020690918,14.708333333333336
7,16.219865798950195,15.68421052631579
8,15.361990928649902,14.571428571428573
9,13.628409385681152,12.111111111111107
10,12.917431831359863,11.0
11,13.418096542358398,11.789473684210524
12,14.39288330078125,13.235294117647056
13,14.368180274963379,13.2
14,16.824512481689453,16.434782608695652
15,15.42104721069336,14.649999999999999
16,13.374588966369629,11.722222222222221
17,14.257923126220703,13.041666666666664
18,15.397754669189453,14.619047619047619
19,15.889830589294434,15.26315789473684
20,15.98957633972168,15.39130434782609
21,18.539875030517578,18.44
22,18.254600524902344,18.11764705882353
23,18.457942962646484,18.347826086956523
24,20.920963287353516,21.0
25,16.615772247314453,16.178571428571427
26,16.878028869628906,16.5
27,15.58278751373291,14.863636363636365
28,16.205984115600586,15.666666666666664
29,16.83243179321289,16.444444444444443
30,16.572433471679688,16.125
31,15.879624366760254,15.25
32,17.370019912719727,17.09090909090909
33,16.182029724121094,15.636363636363637
34,18.77251434326172,18.7
35,18.711074829101562,18.63157894736842
36,17.200389862060547,16.88888888888889
37,15.782979011535645,15.125
38,16.232372283935547,15.7
39,15.976852416992188,15.375000000000002
40,15.43360424041748,14.666666666666664
41,16.17305564880371,15.625
42,16.673723220825195,16.25
43,16.74156951904297,16.333333333333332
44,17.188783645629883,16.875
45,17.779380798339844,17.571428571428573
46,20.203765869140625,20.25
47,21.211746215820312,21.3
48,21.041868209838867,21.125
49,22.257854461669922,22.363636363636363
50,23.268949508666992,23.375
51,21.73357582092285,21.83333333333333
52,19.15755844116211,19.125
53,18.705175399780273,18.625
54,19.15755844116211,19.125
55,19.043704986572266,19.0
56,18.817508697509766,18.75
57,19.85087013244629,19.875
58,23.227081298828125,23.33333333333333
59,24.36347770690918,24.461538461538463
60,23.646284103393555,23.750000000000004
61,20.441200256347656,20.5
62,19.15755844116211,19.125
63,19.7341365814209,19.75
64,19.96805763244629,20.0
65,22.517929077148438,22.625
66,21.451168060302734,21.545454545454547
67,20.71457862854004,20.785714285714285
68,19.909406661987305,19.9375
69,18.623126983642578,18.53333333333333
70,17.61104393005371,17.375
71,17.670400619506836,17.444444444444443
72,18.151369094848633,18.0
73,19.85087013244629,19.875
74,23.898204803466797,24.0
75,20.82451057434082,20.9
76,24.595951080322266,24.692307692307686
77,24.570133209228516,24.66666666666667
78,23.227081298828125,23.33333333333333
79,24.905460357666016,25.0
80,27.121082305908203,27.25
81,27.824647903442383,28.0
82,28.64635467529297,28.916666666666675
83,26.39614486694336,26.5
84,28.804683685302734,29.100000000000005
85,29.142269134521484,29.5
86,29.459333419799805,29.88888888888889
87,30.296367645263672,31.0
88,28.96280288696289,29.285714285714285
89,30.026086807250977,30.625
90,30.553131103515625,31.375
91,29.34741973876953,29.75
92,29.93312644958496,30.5
93,30.24928092956543,30.93333333333333
94,28.9162654876709,29.230769230769234
95,30.450204849243164,31.222222222222214
96,26.881511688232422,26.999999999999996
97,25.531269073486328,25.625
98,27.00157928466797,27.125
99,27.69257164001465,27.857142857142854
100,28.93257713317871,29.250000000000004
101,28.93257713317871,29.250000000000004
102,29.279556274414062,29.666666666666675
103,29.93312644958496,30.5
104,30.450204849243164,31.222222222222214
105,30.296367645263672,31.0
106,31.264652252197266,32.55555555555556
107,31.910930633544922,34.0
108,31.717056274414062,33.5
109,32.071739196777344,34.5
110,31.995527267456055,34.25
111,31.442312240600586,32.9
112,21.90234,32.875
113,21.90234,32.0
